ident	Longitude	Latitude	comment
15_17020	910300	7878900	start
25_17020	910500	7878900	start
32_17020	910700	7878300	start
41_17020	910900	7878100	start
43_17020	910900	7878500	start
51_17020	911100	7878100	start
56_17020	911100	7879100	start
57_17020	911100	7879300	start
61_17020	911300	7878100	start
73_17020	911500	7878500	start
92_17020	911900	7878300	start
14_17310	914300	7814700	start
26_17310	914500	7815100	start
31_17310	914700	7814100	start
35_17310	914700	7814900	start
47_17310	914900	7815300	start
48_17310	914900	7815500	start
58_17310	915100	7815500	start
62_17310	915300	7814300	start
68_17310	915300	7815500	start
77_17310	915500	7815300	start
82_17310	915700	7814300	start
86_17310	915700	7815100	start
87_17310	915700	7815300	start
88_17310	915700	7815500	start
90_17310	915700	7815900	start
92_17310	915900	7814300	start
96_17310	915900	7815100	start
99_17310	915900	7815700	start
3_17501	916100	7874500	start
11_17501	916300	7874100	start
13_17501	916300	7874500	start
14_17501	916300	7874700	start
29_17501	916500	7875700	start
31_17501	916700	7874100	start
32_17501	916700	7874300	start
38_17501	916700	7875500	start
45_17501	916900	7874900	start
56_17501	917100	7875100	start
57_17501	917100	7875300	start
1_17517	916100	7906100	start
21_17517	916500	7906100	start
31_17517	916700	7906100	start
79_17517	917500	7907700	start
91_17517	917900	7906100	start
93_17517	917900	7906500	start
94_17517	917900	7906700	start
96_17517	917900	7907100	start
11_17656	918300	7862100	start
12_17656	918300	7862300	start
23_17656	918500	7862500	start
62_17656	919300	7862300	start
82_17656	919700	7862300	start
12_17977	922300	7860300	start
17_17977	922300	7861300	start
26_17977	922500	7861100	start
27_17977	922500	7861300	start
46_17977	922900	7861100	start
51_17977	923100	7860100	start
53_17977	923100	7860500	start
54_17977	923100	7860700	start
55_17977	923100	7860900	start
56_17977	923100	7861100	start
7_17995	922100	7897300	start
18_17995	922300	7897500	start
26_17995	922500	7897100	start
36_17995	922700	7897100	start
37_17995	922700	7897300	start
48_17995	922900	7897500	start
58_18001	923100	7909500	start
77_18001	923500	7909300	start
78_18001	923500	7909500	start
85_18001	923700	7908900	start
95_18001	923900	7908900	start
9_18314	926100	7891700	start
17_18314	926300	7891300	start
19_18314	926300	7891700	start
26_18314	926500	7891100	start
29_18314	926500	7891700	start
39_18314	926700	7891700	start
45_18314	926900	7890900	start
50_18314	926900	7891900	start
64_18314	927300	7890700	start
66_18314	927300	7891100	start
5_389	928100	7808900	start
15_389	928300	7808900	start
18_389	928300	7809500	start
28_389	928500	7809500	start
37_389	928700	7809300	start
56_389	929100	7809100	start
69_389	929300	7809700	start
75_389	929500	7808900	start
84_389	929700	7808700	start
90_389	929700	7809900	start
87_400	929700	7831300	start
33_447	930700	7814500	start
36_447	930700	7815100	start
49_447	930900	7815700	start
50_447	930900	7815900	start
53_447	931100	7814500	start
59_447	931100	7815700	start
65_447	931300	7814900	start
73_447	931500	7814500	start
77_447	931500	7815300	start
79_447	931500	7815700	start
36_501	932700	7813100	start
55_501	933100	7812900	start
64_501	933300	7812700	start
65_501	933300	7812900	start
75_501	933500	7812900	start
86_501	933700	7813100	start
95_501	933900	7812900	start
35_504	932700	7818900	start
38_504	932700	7819500	start
40_504	932700	7819900	start
55_504	933100	7818900	start
58_504	933100	7819500	start
86_504	933700	7819100	start
95_504	933900	7818900	start
96_504	933900	7819100	start
98_504	933900	7819500	start
7_508	932100	7827300	start
41_508	932900	7826100	start
71_508	933500	7826100	start
4_565	934100	7830700	start
15_565	934300	7830900	start
29_565	934500	7831700	start
30_565	934500	7831900	start
40_565	934700	7831900	start
52_565	935100	7830300	start
58_565	935100	7831500	start
80_565	935500	7831900	start
85_565	935700	7830900	start
86_565	935700	7831100	start
53_814	943100	7888500	start
54_814	943100	7888700	start
57_814	943100	7889300	start
63_814	943300	7888500	start
67_814	943300	7889300	start
72_814	943500	7888300	start
78_814	943500	7889500	start
79_814	943500	7889700	start
80_814	943500	7889900	start
90_814	943700	7889900	start
94_814	943900	7888700	start
99_814	943900	7889700	start
8_1019	950100	7859500	start
22_1019	950500	7858300	start
24_1019	950500	7858700	start
37_1019	950700	7859300	start
42_1019	950900	7858300	start
52_1019	951100	7858300	start
58_1019	951100	7859500	start
75_1019	951500	7858900	start
78_1019	951500	7859500	start
87_1019	951700	7859300	start
26_1024	950500	7869100	start
27_1024	950500	7869300	start
37_1024	950700	7869300	start
47_1024	950900	7869300	start
54_1024	951100	7868700	start
65_1024	951300	7868900	start
77_1024	951500	7869300	start
78_1024	951500	7869500	start
85_1024	951700	7868900	start
86_1024	951700	7869100	start
40_1025	950700	7871900	start
48_1025	950900	7871500	start
53_1025	951100	7870500	start
54_1025	951100	7870700	start
57_1025	951100	7871300	start
63_1025	951300	7870500	start
74_1025	951500	7870700	start
76_1025	951500	7871100	start
86_1025	951700	7871100	start
98_1025	951900	7871500	start
8_1086	952100	7883500	start
